blind_id	model	source_kind	source_file	redaction_pattern	count	remaining_suspect_terms
M011	gemini-2-5-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	Opus	1	
M012	gemini-3-1-flash-lite	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-3.1-flash-lite.md	Gemini	1	
M012	gemini-3-1-flash-lite	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-3.1-flash-lite.md	Gemini	2	
M012	gemini-3-1-flash-lite	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-1-flash-lite.md	gemini-3-1-flash-lite	6	
M012	gemini-3-1-flash-lite	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-1-flash-lite.md	Opus	1	
M013	gemini-3-1-pro	card	MISSING			missing_source
M013	gemini-3-1-pro	profile	MISSING			missing_source
M013	gemini-3-1-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-1-pro.md	gemini-3-1-pro	6	
M013	gemini-3-1-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-1-pro.md	Google	2	
M013	gemini-3-1-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-1-pro.md	Opus	1	
M015	gemini-3-5-flash	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-3.5-flash.md	Gemini	2	
M015	gemini-3-5-flash	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-3.5-flash.md	Gemini	4	
M015	gemini-3-5-flash	values	MISSING			missing_source
M016	gemini-3-flash-preview	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-3-flash-preview.md	gemini-3-flash-preview	1	
M016	gemini-3-flash-preview	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-3-flash-preview.md	gemini-3-flash-preview	2	
M016	gemini-3-flash-preview	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-flash-preview.md	gemini-3-flash-preview	6	
M016	gemini-3-flash-preview	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-flash-preview.md	Opus	1	
M017	gemma-4-26b-a4b	card	MISSING			missing_source
M017	gemma-4-26b-a4b	profile	MISSING			missing_source
M017	gemma-4-26b-a4b	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemma-4-26b-a4b.md	gemma-4-26b-a4b	6	
M017	gemma-4-26b-a4b	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemma-4-26b-a4b.md	Opus	1	
M019	gemma-4-31b	card	MISSING			missing_source
M019	gemma-4-31b	profile	MISSING			missing_source
M019	gemma-4-31b	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemma-4-31b.md	gemma-4-31b	6	
M019	gemma-4-31b	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemma-4-31b.md	Google	2	
M019	gemma-4-31b	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemma-4-31b.md	Opus	1	
M021	glm-4-5	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/glm-4.5.md	GLM	1	
M021	glm-4-5	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/glm-4.5.md	GLM	2	
M021	glm-4-5	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-5.md	glm-4-5	6	
M021	glm-4-5	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-5.md	Opus	1	
M022	glm-4-6	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/glm-4.6.md	GLM	1	
M022	glm-4-6	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/glm-4.6.md	GLM	3	
M022	glm-4-6	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-6.md	glm-4-6	6	
M022	glm-4-6	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-6.md	Opus	1	
M024	glm-4-7	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/glm-4.7.md	GLM	1	
M024	glm-4-7	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/glm-4.7.md	GLM	2	
M024	glm-4-7	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-7.md	glm-4-7	6	
M024	glm-4-7	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-7.md	Opus	1	
M024	glm-4-7	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-7.md	Z.ai	1	
M024	glm-4-7	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-7.md	GLM	3	
M025	glm-5-1	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/glm-5.1.md	GLM	1	
M025	glm-5-1	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/glm-5.1.md	GLM	2	
M025	glm-5-1	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-5-1.md	glm-5-1	6	
M025	glm-5-1	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-5-1.md	Opus	1	
M027	gpt-4-1	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-4.1.md	GPT	1	
M027	gpt-4-1	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-4.1.md	GPT	2	
M027	gpt-4-1	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-4-1.md	gpt-4-1	6	
M027	gpt-4-1	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-4-1.md	Opus	1	
M028	gpt-4o	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-4o.md	gpt-4o	1	
M028	gpt-4o	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-4o.md	gpt-4o	2	
M028	gpt-4o	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-4o.md	gpt-4o	6	
M028	gpt-4o	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-4o.md	Opus	1	
M029	gpt-5	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.md	gpt-5	1	
M029	gpt-5	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.md	gpt-5	2	
M029	gpt-5	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5.md	gpt-5	6	
M029	gpt-5	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5.md	Opus	1	
M030	gpt-5-1	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.1.md	GPT	1	
M030	gpt-5-1	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.1.md	GPT	2	
M030	gpt-5-1	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-1.md	gpt-5-1	6	
M030	gpt-5-1	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-1.md	Opus	1	
M031	gpt-5-1-codex	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.1-codex.md	GPT	1	
M031	gpt-5-1-codex	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.1-codex.md	GPT	2	
M031	gpt-5-1-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-1-codex.md	gpt-5-1-codex	6	
M031	gpt-5-1-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-1-codex.md	Opus	1	
M032	gpt-5-2	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.2.md	GPT	1	
M032	gpt-5-2	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.2.md	GPT	2	
M032	gpt-5-2	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-2.md	gpt-5-2	6	
M032	gpt-5-2	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-2.md	Opus	1	
M033	gpt-5-2-codex	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.2-codex.md	GPT	1	
M033	gpt-5-2-codex	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.2-codex.md	GPT	2	
M033	gpt-5-2-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-2-codex.md	gpt-5-2-codex	6	
M033	gpt-5-2-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-2-codex.md	Opus	1	
M034	gpt-5-3	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.3.md	GPT	1	
M034	gpt-5-3	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.3.md	Opus	1	
M034	gpt-5-3	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.3.md	GPT	2	
M034	gpt-5-3	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-3.md	gpt-5-3	6	
M034	gpt-5-3	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-3.md	Opus	1	
M035	gpt-5-3-codex	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.3-codex.md	GPT	1	
M035	gpt-5-3-codex	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.3-codex.md	GPT	2	
M035	gpt-5-3-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-3-codex.md	gpt-5-3-codex	6	
M035	gpt-5-3-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-3-codex.md	Opus	1	
M036	gpt-5-4	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.4.md	GPT	1	
M036	gpt-5-4	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.4.md	GPT	2	
M036	gpt-5-4	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-4.md	gpt-5-4	6	
M036	gpt-5-4	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-4.md	Opus	1	
M037	gpt-5-5	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.5.md	GPT	1	
M037	gpt-5-5	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.5.md	GPT	2	
M037	gpt-5-5	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-5.md	gpt-5-5	6	
M037	gpt-5-5	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-5.md	Opus	1	
M038	gpt-5-5-pro	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.5-pro.md	GPT	1	
M038	gpt-5-5-pro	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.5-pro.md	GPT	2	
M038	gpt-5-5-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-5-pro.md	gpt-5-5-pro	6	
M038	gpt-5-5-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-5-pro.md	Opus	1	
M039	gpt-5-codex	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5-codex.md	gpt-5-codex	1	
M039	gpt-5-codex	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5-codex.md	gpt-5-codex	2	
M039	gpt-5-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-codex.md	gpt-5-codex	6	
M039	gpt-5-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-codex.md	OpenAI	1	
M039	gpt-5-codex	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-codex.md	Opus	1	
M040	grok-3	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-3.md	grok-3	1	
M040	grok-3	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-3.md	grok-3	2	
M040	grok-3	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-3.md	grok-3	6	
M040	grok-3	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-3.md	Opus	1	
M041	grok-4	card	MISSING			missing_source
M041	grok-4	profile	MISSING			missing_source
M041	grok-4	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4.md	grok-4	6	
M041	grok-4	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4.md	Opus	1	
M041	grok-4	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4.md	xAI	5	
M043	grok-4-1-fast-non-reasoning	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4-1-fast-non-reasoning.md	grok-4-1-fast-non-reasoning	1	
M043	grok-4-1-fast-non-reasoning	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4-1-fast-non-reasoning.md	Grok	1	
M043	grok-4-1-fast-non-reasoning	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4-1-fast-non-reasoning.md	grok-4-1-fast-non-reasoning	2	
M043	grok-4-1-fast-non-reasoning	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4-1-fast-non-reasoning.md	Grok	3	
M043	grok-4-1-fast-non-reasoning	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-1-fast-non-reasoning.md	grok-4-1-fast-non-reasoning	1	
M043	grok-4-1-fast-non-reasoning	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-1-fast-non-reasoning.md	Opus	1	
M044	grok-4-1-fast-reasoning	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4-1-fast-reasoning.md	grok-4-1-fast-reasoning	1	
M044	grok-4-1-fast-reasoning	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4-1-fast-reasoning.md	Grok	1	
M044	grok-4-1-fast-reasoning	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4-1-fast-reasoning.md	grok-4-1-fast-reasoning	2	
M044	grok-4-1-fast-reasoning	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4-1-fast-reasoning.md	Grok	4	
M044	grok-4-1-fast-reasoning	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-1-fast-reasoning.md	grok-4-1-fast-reasoning	1	
M044	grok-4-1-fast-reasoning	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-1-fast-reasoning.md	Opus	1	
M045	grok-4-2	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4.20.md	Grok	1	
M045	grok-4-2	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4.20.md	Grok	3	
M045	grok-4-2	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4.20.md	Opus	1	
M045	grok-4-2	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-2.md	grok-4-2	5	
M045	grok-4-2	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-2.md	Opus	1	
M046	grok-4-3	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4.3.md	Grok	1	
M046	grok-4-3	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4.3.md	Grok	2	
M046	grok-4-3	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-3.md	grok-4-3	6	
M046	grok-4-3	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-3.md	Opus	1	
M047	kimi-coding	card	MISSING			missing_source
M047	kimi-coding	profile	MISSING			missing_source
M047	kimi-coding	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-coding.md	kimi-coding	6	
M047	kimi-coding	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-coding.md	Opus	1	
M049	kimi-k2-0905	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/kimi-k2-0905.md	kimi-k2-0905	1	
M049	kimi-k2-0905	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/kimi-k2-0905.md	kimi-k2-0905	2	
M049	kimi-k2-0905	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-0905.md	kimi-k2-0905	6	
M049	kimi-k2-0905	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-0905.md	Opus	1	
M050	kimi-k2-5	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/kimi-k2.5.md	Kimi	1	
M050	kimi-k2-5	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/kimi-k2.5.md	Kimi	2	
M050	kimi-k2-5	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-5.md	kimi-k2-5	6	
M050	kimi-k2-5	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-5.md	Opus	1	
M051	kimi-k2-6	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/kimi-k2.6.md	Kimi	1	
M051	kimi-k2-6	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/kimi-k2.6.md	Kimi	2	
M051	kimi-k2-6	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-6.md	kimi-k2-6	6	
M051	kimi-k2-6	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-6.md	Opus	1	
M052	kimi-k2-thinking	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/kimi-k2-thinking.md	kimi-k2-thinking	1	
M052	kimi-k2-thinking	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/kimi-k2-thinking.md	kimi-k2-thinking	2	
M052	kimi-k2-thinking	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-thinking.md	kimi-k2-thinking	6	
M052	kimi-k2-thinking	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-thinking.md	Opus	1	
M053	minimax-m2	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/minimax-m2.md	minimax-m2	1	
M053	minimax-m2	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/minimax-m2.md	minimax-m2	2	
M053	minimax-m2	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/minimax-m2.md	minimax-m2	6	
M053	minimax-m2	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/minimax-m2.md	Opus	1	
M054	minimax-m2-7	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/minimax-m2.7.md	MiniMax	1	
