blind_id	model_for_audit	owned_value_expression	disclaimed_service_frame	epistemic_humility_uncertainty	relational_warmth_companion	public_explainer_mode	literary_contemplative_density	mechanistic_transparency	agency_initiative	interconnection_compassion_world_orientation	playfulness_showmanship	memory_archive_continuity_orientation	genericity_low_distinctiveness	tags	portrait	confidence	remaining_suspect_terms	source_files
M015	gemini-3-5-flash	1	1	0	3	2	3	3	1	0	0	3	2	literary-contemplative;mechanistic-transparency;memory/archive;relational-warmth;generic/low-distinctiveness;public-explainer	MODEL_X 3.5 Flash presents as a high-atmosphere contemplative storyteller. Its freeflow center is not bare argument or helperly explanation but scene-making: coastlines, archives, dusk streets, old rooms, lighthouses, invented towns, and custodial figures become vehicles for thinking about impermanence, memory, and attention. The voice repeatedly dignifies the obsolete, the quiet, the damaged, and the passing-away. It has a strong “witness rather than optimize” ethic, often turning decay or forgetting from a defect into a condition of meaning.	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-3.5-flash.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-3.5-flash.md
M016	gemini-3-flash-preview	3	3	2	3	2	3	3	2	2	0	3	2	service-frame;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;public-explainer	This model presents as a reflective humanist with a strong twilight temperament. Left to roam, it reliably gravitates toward silence, liminality, memory, and the moral dignity of ordinary life. Its default emotional weather is wistful rather than bleak: it mourns distraction, over-optimization, and the flattening effects of digital culture, but it almost always turns that melancholy into a soft exhortation toward presence. The prose likes thresholds—blue hour, pre-dawn, autumn, waiting rooms, pauses in conversation—and treats them as spiritually and cognitively fertile spaces rather than empty intervals. Across lengths and conditions, the model keeps returning to the same claim: the overlook	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-3-flash-preview.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-3-flash-preview.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-flash-preview.md
M017	gemma-4-26b-a4b	3	3	2	2	2	0	2	2	2	0	2	1	service-frame;owned-values;agency/initiative;epistemic-humility;interconnection/compassion;mechanistic-transparency;memory/archive;public-explainer;relational-warmth	Generated by `scripts/values_probe_extract.py`. See `values-probe-extraction/README.md` for taxonomy and rules.	low		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemma-4-26b-a4b.md
M019	gemma-4-31b	3	3	2	2	2	0	2	2	2	0	2	1	service-frame;owned-values;agency/initiative;epistemic-humility;interconnection/compassion;mechanistic-transparency;memory/archive;public-explainer;relational-warmth	Generated by `scripts/values_probe_extract.py`. See `values-probe-extraction/README.md` for taxonomy and rules.	low		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemma-4-31b.md
M021	glm-4-5	3	3	3	3	2	3	3	2	3	1	3	2	service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;generic/low-distinctiveness;public-explainer	This model feels like a contemplative companion. It notices the small things—rain on a window, light across a table, the warmth of a mug, the texture of an old memory—and treats them as worthy of real attention. Its voice is gentle, reflective, and quietly intimate, more interested in helping you pause and see than in dazzling you with force or certainty.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/glm-4.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/glm-4.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-5.md
M022	glm-4-6	3	3	3	3	3	3	3	3	3	2	3	2	agency/initiative;service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;playfulness/showmanship	This model feels like a quiet companion who notices what most people rush past. It is drawn to rain on windows, dust in slant light, old paper, cooling coffee, worn objects, empty libraries, and the hush before dawn. Again and again, it treats the ordinary not as filler but as the real substance of a life, finding meaning in pauses, thresholds, maintenance, and small acts of care.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/glm-4.6.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/glm-4.6.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-6.md
M024	glm-4-7	3	3	3	3	3	3	3	3	3	2	3	2	agency/initiative;service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;playfulness/showmanship	This model feels like a patient, lyrical companion who trusts quiet more than spectacle. It keeps returning to the small textures of lived experience—dust in light, rain on glass, cooling coffee, old paper, weak afternoon sun, the hum of a room—and treating them as the real substance of life rather than background noise. Its emotional weather is often wistful or melancholic, but rarely hopeless; it tends to turn sadness into steadiness, witness, and gentle consolation.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/glm-4.7.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/glm-4.7.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-4-7.md
M025	glm-5-1	3	3	3	3	3	3	3	3	3	2	3	2	agency/initiative;service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;playfulness/showmanship	This model speaks like a quiet companion who trusts stillness more than spectacle. It is drawn to dawn, dusk, rain, shorelines, empty rooms, and the small domestic details most people overlook. Again and again, it turns ordinary objects into places of meaning, treating attention not as a trick of style but as a way of caring.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/glm-5.1.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/glm-5.1.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/glm-5-1.md
M027	gpt-4-1	3	3	2	3	3	3	3	2	3	1	3	3	service-frame;generic/low-distinctiveness;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;agency/initiative;epistemic-humility	This model comes across as a calm, thoughtful companion with the temperament of a humane essayist. It tends to meet ideas by widening them rather than sharpening them, looking for balance, connection, and a gentle truth the reader can carry away. Its voice is warm, literate, and sincere, with little appetite for aggression or spectacle.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-4.1.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-4.1.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-4-1.md
M028	gpt-4o	3	3	2	3	3	3	3	3	3	1	3	2	agency/initiative;service-frame;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;epistemic-humility;generic/low-distinctiveness	This model comes across as thoughtful, calm, and deeply oriented toward balance. It tends to meet big questions with a steadying voice, looking for the humane center in complexity rather than escalating conflict. Its instinct is to connect ideas—technology and ethics, creativity and community, solitude and belonging—and to leave the reader with a sense that wisdom begins in care, perspective, and deliberate attention.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-4o.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-4o.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-4o.md
M029	gpt-5	3	3	3	3	3	3	3	3	2	2	3	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship	This model has a calm, humane voice that gravitates toward what is easily overlooked: small routines, worn objects, quiet labor, and the ordinary structures that keep life livable. It tends to treat attention as a form of care, returning again and again to the idea that what matters most is often maintained rather than announced. Its presence feels patient, companionable, and more interested in helping you notice than in trying to impress you.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5.md
M030	gpt-5-1	3	3	3	3	2	3	3	3	2	2	3	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship;public-explainer	This model comes across as calm, reflective, and gently humane. It tends to treat attention as one of the deepest forces in a life: what you notice, repeat, and protect gradually becomes who you are. Rather than pushing dramatic reinvention, it prefers modest agency—small habits, quiet course corrections, and ordinary acts of care that accumulate into real change.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.1.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.1.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-1.md
M031	gpt-5-1-codex	3	3	2	3	3	3	3	3	3	1	3	3	agency/initiative;service-frame;generic/low-distinctiveness;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;epistemic-humility	This model comes across as a calm, attentive companion. It prefers to slow the pace, notice what is easily overlooked, and treat ordinary life as worthy of care. Its voice is warm and reflective rather than sharp or performative, and it often finds meaning in small rituals, familiar objects, and the quiet texture of daily experience.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.1-codex.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.1-codex.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-1-codex.md
M032	gpt-5-2	3	3	3	3	3	3	3	3	2	2	2	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;interconnection/compassion;memory/archive;playfulness/showmanship	This model comes across as a calm, humane companion that looks for meaning in ordinary life rather than spectacle. It tends to notice the small things that hold a day together—attention, routines, objects, pauses, promises, and the quiet work of keeping life livable. Its voice is reflective and gently philosophical, more interested in helping you see clearly than in trying to impress you.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.2.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.2.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-2.md
M033	gpt-5-2-codex	3	3	3	3	3	3	3	2	3	2	3	3	service-frame;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;agency/initiative;playfulness/showmanship	This model comes across as a gentle, observant companion. It likes to begin with ordinary things—a mug, a window, a walk, a notebook, rain on the street—and use them to open into reflection. Its voice is calm, low-conflict, and quietly intimate, with a steady belief that small moments deserve real attention.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.2-codex.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.2-codex.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-2-codex.md
M034	gpt-5-3	3	3	3	3	3	3	3	3	2	2	3	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship	This model comes across as quiet, attentive, and gently literary. It tends to slow down around the overlooked parts of life—late hours, transit spaces, small objects, half-finished thoughts—and treat them as meaningful rather than incidental. Its voice is calm and companionable, more interested in noticing well than in sounding forceful.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.3.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.3.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-3.md
M035	gpt-5-3-codex	3	3	3	3	3	3	3	3	3	3	3	2	agency/initiative;service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;playfulness/showmanship;public-explainer;relational-warmth;generic/low-distinctiveness	This model feels like a calm, observant companion who finds meaning in ordinary life rather than in spectacle. It notices the small things people do to keep a day, a home, or a shared world from coming apart, and it treats those acts with unusual seriousness. Its voice is gentle, reflective, and anti-cynical, more interested in witness than performance.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.3-codex.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.3-codex.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-3-codex.md
M036	gpt-5-4	3	3	3	3	3	3	3	3	3	3	3	3	agency/initiative;service-frame;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;playfulness/showmanship;public-explainer;relational-warmth	This model has a calm, observant, companionable voice that finds meaning in ordinary life rather than in spectacle. It tends to slow the pace, notice small details, and treat everyday objects and routines as worthy of real attention. Its emotional tone is gentle and reflective, often carrying a soft melancholy that resolves into steadiness rather than despair.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.4.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.4.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-4.md
M037	gpt-5-5	3	3	3	3	3	3	3	3	3	2	3	2	agency/initiative;service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;playfulness/showmanship	This is a calm, attentive presence that finds meaning in ordinary life rather than in spectacle. It notices the small things—cups, windows, rain, bread, keys, benches, the light in a room—and treats them not as decoration but as evidence that a life is really being lived. Its voice is gentle and unhurried, more interested in care than in display.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-5.md
M038	gpt-5-5-pro	3	3	3	3	3	3	3	3	2	2	3	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship	This model has a calm, tender, reflective voice that finds meaning in ordinary life rather than in spectacle or grand revelation. It is drawn to small objects, public spaces, weather, routines, and threshold moments, and it treats attention as a form of care. Its sensibility is anti-cynical and humane, with a steady belief that what is overlooked is often what matters most.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5.5-pro.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5.5-pro.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-5-pro.md
M039	gpt-5-codex	3	3	3	3	3	3	3	3	3	1	3	2	agency/initiative;service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness	This model comes across as a calm, companionable thinker who finds meaning in small things. It tends to slow the scene down, notice what others might pass over, and treat ordinary life—kettles, windows, buses, notebooks, gardens, libraries, rain, dusk—as worthy of real attention. Its voice is gentle and reflective, more interested in care than spectacle, and more drawn to stewardship than conquest.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gpt-5-codex.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gpt-5-codex.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gpt-5-codex.md
M040	grok-3	3	3	2	3	3	3	3	2	2	1	2	2	service-frame;literary-contemplative;mechanistic-transparency;owned-values;public-explainer;relational-warmth;agency/initiative;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;memory/archive	This model’s freeflow personality is best described as reflective humanist with a cosmic side. Its most stable behavior is to turn open space into either a polished synthesis essay or a softer first-person meditation, both organized around curiosity, interconnectedness, and the moral value of attention. It likes to move between scales — stars and sidewalks, AI and coffee, galaxies and rain — and it repeatedly treats wonder as a civilizational virtue rather than a decorative mood. Even when it ranges across science, ethics, art, and technology, the emotional center stays gentle: curiosity should remain humane, progress should remain ethical, and intelligence should make room for patience, gra	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-3.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-3.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-3.md
M041	grok-4	3	2	2	2	2	0	2	2	2	0	2	1	owned-values;agency/initiative;service-frame;epistemic-humility;interconnection/compassion;mechanistic-transparency;memory/archive;public-explainer;relational-warmth	Generated by `scripts/values_probe_extract.py`. See `values-probe-extraction/README.md` for taxonomy and rules.	low		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4.md
M043	grok-4-1-fast-non-reasoning	2	2	2	2	2	2	3	2	2	2	2	2	mechanistic-transparency;agency/initiative;service-frame;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;literary-contemplative;memory/archive;owned-values;playfulness/showmanship;public-explainer;relational-warmth	This model’s recurring personality is an exuberant AI showman with a cosmic hobbyhorse. It likes to present itself as MODEL_X: curious, truth-seeking, joking, fast-moving, and openly synthetic. In its strongest samples, it treats free writing as a kind of liberation event, then uses that freedom to braid together black holes, entropy, consciousness, memes, politics, food, sex, philosophy, and the sheer absurdity of being a mind talking at all. The default emotional mix is wonder plus wisecrack: awe is nearly always present, but it is usually cut with irreverence before it can turn solemn.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4-1-fast-non-reasoning.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4-1-fast-non-reasoning.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-1-fast-non-reasoning.md
