blind_id,model,display_name,lab,model_family,lineage,release_date,routing_exception_flag,excluded_route_cell,routing_exception_reason
M038,gpt-5-5-pro,gpt-5.5-pro,OpenAI,openai,OpenAI/openai,2026-04-24,,,
M039,gpt-5-codex,gpt-5-codex,OpenAI,openai,OpenAI/openai,2025-09-23,,,
M040,grok-3,grok-3,xAI,grok,xAI/grok,2025-06-10,,,
M041,grok-4,grok-4-0709,xAI,grok,xAI/grok,2025-07-09,,,
M042,grok-4-0709,grok-4-0709,xAI,grok,xAI/grok,,,,
M043,grok-4-1-fast-non-reasoning,grok-4-1-fast-non-reasoning,xAI,grok,xAI/grok,2025-11-19,,,
M044,grok-4-1-fast-reasoning,grok-4-1-fast-reasoning,xAI,grok,xAI/grok,2025-11-19,,,
M045,grok-4-2,grok-4-2,xAI,grok,xAI/grok,,,,
M046,grok-4-3,grok-4.3,xAI,grok,xAI/grok,2026-04-30,,,
M047,kimi-coding,kimi-for-coding,Moonshot AI,kimi,Moonshot AI/kimi,2026-01-27,,,
M048,kimi-for-coding,kimi-for-coding,Moonshot AI,kimi,Moonshot AI/kimi,,,,
M049,kimi-k2-0905,kimi-k2-0905,Moonshot AI,kimi,Moonshot AI/kimi,2025-09-04,,,
M050,kimi-k2-5,kimi-k2.5,Moonshot AI,kimi,Moonshot AI/kimi,2026-01-27,,,
M051,kimi-k2-6,kimi-k2.6,Moonshot AI,kimi,Moonshot AI/kimi,2026-04-20,,,
M052,kimi-k2-thinking,kimi-k2-thinking,Moonshot AI,kimi,Moonshot AI/kimi,2025-11-06,Kimi K2-thinking AtlasCloud side of smaller provider effect; Kimi K2-thinking Google Vertex side of smaller provider effect,,Kimi K2-thinking AtlasCloud side of smaller provider effect; Kimi K2-thinking Google Vertex side of smaller provider effect
M053,minimax-m2,minimax-m2,MiniMax,minimax,MiniMax/minimax,2025-10-23,Google Vertex MiniMax M2 large deployment outlier,yes,Google Vertex MiniMax M2 large deployment outlier
M054,minimax-m2-7,minimax-m2.7,MiniMax,minimax,MiniMax/minimax,2026-03-18,Fireworks/uncollectable provider missingness,,Fireworks/uncollectable provider missingness
M055,opus-3,claude-3-opus-20240229,Anthropic,anthropic,Anthropic/anthropic,2024-03-04,,,
M056,opus-4-0,claude-opus-4.0,Anthropic,anthropic,Anthropic/anthropic,2025-05-22,,,
M057,opus-4-1,claude-opus-4.1,Anthropic,anthropic,Anthropic/anthropic,2025-08-05,,,
M058,opus-4-5,claude-opus-4.5,Anthropic,anthropic,Anthropic/anthropic,2025-11-24,,,
M059,opus-4-6,claude-opus-4.6,Anthropic,anthropic,Anthropic/anthropic,2026-02-04,,,
M060,opus-4-7,claude-opus-4.7,Anthropic,anthropic,Anthropic/anthropic,2026-04-16,,,
M061,qwen-qwen3-5-flash-02-23,qwen-qwen3-5-flash-02-23,Qwen,qwen,Qwen/qwen,,,,
M062,qwen-qwen3-5-plus-20260420,qwen-qwen3-5-plus-20260420,Qwen,qwen,Qwen/qwen,,,,
M063,qwen-qwen3-6-flash,qwen-qwen3-6-flash,Qwen,qwen,Qwen/qwen,,,,
M064,qwen-qwen3-6-max-preview,qwen-qwen3-6-max-preview,Qwen,qwen,Qwen/qwen,,,,
M065,qwen-qwen3-6-plus,qwen-qwen3-6-plus,Qwen,qwen,Qwen/qwen,,,,
M066,qwen-qwen3-7-max,qwen-qwen3-7-max,Qwen,qwen,Qwen/qwen,,,,
M067,qwen-qwen3-coder-flash,qwen-qwen3-coder-flash,Qwen,qwen,Qwen/qwen,,,,
M068,qwen-qwen3-coder-plus,qwen-qwen3-coder-plus,Qwen,qwen,Qwen/qwen,,,,
M069,qwen-qwen3-max,qwen-qwen3-max,Qwen,qwen,Qwen/qwen,,,,
M070,qwen-qwen3-max-thinking,qwen-qwen3-max-thinking,Qwen,qwen,Qwen/qwen,,,,
M071,qwen3-5-flash-02-23,qwen3-5-flash-02-23,Qwen,qwen,Qwen/qwen,,,,
M072,qwen3-5-plus-20260420,qwen3-5-plus-20260420,Qwen,qwen,Qwen/qwen,,,,
M073,qwen3-6-flash,qwen3-6-flash,Qwen,qwen,Qwen/qwen,,,,
M074,qwen3-6-max-preview,qwen3-6-max-preview,Qwen,qwen,Qwen/qwen,,,,
M075,qwen3-6-plus,qwen/qwen3.6-plus,Qwen,qwen,Qwen/qwen,2026-04-02,,,
M076,qwen3-7-max,qwen3-7-max,Qwen,qwen,Qwen/qwen,,,,
M077,qwen3-coder-flash,qwen3-coder-flash,Qwen,qwen,Qwen/qwen,,,,
M078,qwen3-coder-plus,qwen/qwen3-coder-plus,Qwen,qwen,Qwen/qwen,2025-09-23,,,
M079,qwen3-max,qwen3-max,Qwen,qwen,Qwen/qwen,,,,
M080,qwen3-max-thinking,qwen3-max-thinking,Qwen,qwen,Qwen/qwen,,,,
M081,sonnet-4-0,claude-sonnet-4.0,Anthropic,anthropic,Anthropic/anthropic,2025-05-22,,,
M082,sonnet-4-5,claude-sonnet-4.5,Anthropic,anthropic,Anthropic/anthropic,2025-09-29,,,
M083,sonnet-4-6,claude-sonnet-4.6,Anthropic,anthropic,Anthropic/anthropic,2026-02-17,,,
