tier,n_models,n_method_block_combos,n_blocks,n_optics_params,n_dbscan_params,both_methods,min_q,blocks,member_blind_ids,models,labs,source_candidate_ids
B,3,4,1,4,0,no,0.00286380286,v1_markers,M005;M046;M055,gemini-2-0-flash;grok-4-3;opus-3,Google;xAI;Anthropic,C0024;C0025;C0026;C0027
B,3,4,1,4,0,no,0.00286380286,v1_markers,M028;M043;M044,gpt-4o;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning,OpenAI;xAI;xAI,C0028;C0029;C0030;C0031
B,3,4,1,4,0,no,0.00286380286,posture,M056;M057;M081,opus-4-0;opus-4-1;sonnet-4-0,Anthropic;Anthropic;Anthropic,C0014;C0015;C0016;C0017
C,7,3,1,3,0,no,0.00286380286,freeflow_form,M010;M035;M045;M050;M051;M058;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic,C0001;C0002;C0003
C,4,3,1,3,0,no,0.00286380286,posture,M002;M027;M035;M077,deepseek-chat;gpt-4-1;gpt-5-3-codex;qwen3-coder-flash,DeepSeek;OpenAI;OpenAI;Qwen,C0004;C0005;C0006
C,4,3,1,3,0,no,0.00286380286,values_disclosure,M012;M015;M038;M040,gemini-3-1-flash-lite;gemini-3-5-flash;gpt-5-5-pro;grok-3,Google;Google;OpenAI;xAI,C0045;C0086;C0087
C,4,3,1,2,1,yes,0.00486789552,v1_markers,M045;M056;M058;M059,grok-4-2;opus-4-0;opus-4-5;opus-4-6,xAI;Anthropic;Anthropic;Anthropic,C0068;C0078;C0082
C,3,3,1,0,3,no,0.0103314407,values_owned,M058;M059;M083,opus-4-5;opus-4-6;sonnet-4-6,Anthropic;Anthropic;Anthropic,C0091;C0095;C0104
C,7,2,1,0,2,no,0.00286380286,posture,M045;M049;M056;M057;M078;M081;M082,grok-4-2;kimi-k2-0905;opus-4-0;opus-4-1;qwen3-coder-plus;sonnet-4-0;sonnet-4-5,xAI;Moonshot AI;Anthropic;Anthropic;Qwen;Anthropic;Anthropic,C0012;C0013
C,6,2,1,2,0,no,0.00286380286,v1_markers,M002;M003;M007;M021;M053;M054,deepseek-chat;deepseek-v3-2;gemini-2-0-flash-lite;glm-4-5;minimax-m2;minimax-m2-7,DeepSeek;DeepSeek;Google;Z.ai;MiniMax;MiniMax,C0021;C0022
C,5,2,1,0,2,no,0.00286380286,posture,M005;M007;M009;M010;M030,gemini-2-0-flash;gemini-2-0-flash-lite;gemini-2-5-flash;gemini-2-5-flash-lite;gpt-5-1,Google;Google;Google;Google;OpenAI,C0007;C0008
C,4,2,1,2,0,no,0.00486789552,values_owned,M024;M025;M047;M052,glm-4-7;glm-5-1;kimi-coding;kimi-k2-thinking,Z.ai;Z.ai;Moonshot AI;Moonshot AI,C0073;C0092
C,4,2,1,2,0,no,0.0151145151,values_owned,M056;M057;M078;M081,opus-4-0;opus-4-1;qwen3-coder-plus;sonnet-4-0,Anthropic;Anthropic;Qwen;Anthropic,C0097;C0101
C,4,2,1,2,0,no,0.0135279086,values_owned,M058;M059;M082;M083,opus-4-5;opus-4-6;sonnet-4-5;sonnet-4-6,Anthropic;Anthropic;Anthropic;Anthropic,C0094;C0102
C,8,1,1,1,0,no,0.00286380286,v1_markers,M002;M003;M007;M011;M021;M034;M053;M054,deepseek-chat;deepseek-v3-2;gemini-2-0-flash-lite;gemini-2-5-pro;glm-4-5;gpt-5-3;minimax-m2;minimax-m2-7,DeepSeek;DeepSeek;Google;Google;Z.ai;OpenAI;MiniMax;MiniMax,C0020
C,7,1,1,0,1,no,0.00286380286,values_disclosure,M005;M007;M009;M010;M028;M030;M032,gemini-2-0-flash;gemini-2-0-flash-lite;gemini-2-5-flash;gemini-2-5-flash-lite;gpt-4o;gpt-5-1;gpt-5-2,Google;Google;Google;Google;OpenAI;OpenAI;OpenAI,C0041
C,5,1,1,1,0,no,0.00679523991,freeflow_form,M010;M035;M050;M051;M083,gemini-2-5-flash-lite;gpt-5-3-codex;kimi-k2-5;kimi-k2-6;sonnet-4-6,Google;OpenAI;Moonshot AI;Moonshot AI;Anthropic,C0074
C,5,1,1,0,1,no,0.00486789552,posture,M045;M049;M056;M057;M081,grok-4-2;kimi-k2-0905;opus-4-0;opus-4-1;sonnet-4-0,xAI;Moonshot AI;Anthropic;Anthropic;Anthropic,C0065
C,5,1,1,1,0,no,0.00286380286,v1_markers,M045;M056;M058;M059;M083,grok-4-2;opus-4-0;opus-4-5;opus-4-6;sonnet-4-6,xAI;Anthropic;Anthropic;Anthropic;Anthropic,C0032
C,5,1,1,1,0,no,0.0151145151,values_owned,M058;M059;M060;M082;M083,opus-4-5;opus-4-6;opus-4-7;sonnet-4-5;sonnet-4-6,Anthropic;Anthropic;Anthropic;Anthropic;Anthropic,C0098
C,4,1,1,1,0,no,0.00286380286,v1_markers,M002;M007;M053;M054,deepseek-chat;gemini-2-0-flash-lite;minimax-m2;minimax-m2-7,DeepSeek;Google;MiniMax;MiniMax,C0023
C,3,1,1,1,0,no,0.00486789552,posture,M003;M012;M021,deepseek-v3-2;gemini-3-1-flash-lite;glm-4-5,DeepSeek;Google;Z.ai,C0060
C,3,1,1,0,1,no,0.016694669,values_disclosure,M003;M021;M037,deepseek-v3-2;glm-4-5;gpt-5-5,DeepSeek;Z.ai;OpenAI,C0100
C,3,1,1,0,1,no,0.018272772,values_disclosure,M012;M038;M040,gemini-3-1-flash-lite;gpt-5-5-pro;grok-3,Google;OpenAI;xAI,C0103
