candidate_id,source_type,block,metric,method,status,n_models,within_mean_distance,p_raw,q_fdr,feature_count,features,blind_ids,UNBLINDING_METADATA_models,UNBLINDING_METADATA_labs
C0107,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.606266935,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M036;M039;M045;M050;M051;M058;M060;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-4;gpt-5-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;opus-4-7;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic;Anthropic
C0108,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.592493129,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M039;M044;M045;M050;M051;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;gpt-5-codex;grok-4-1-fast-reasoning;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-6;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0109,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.611402663,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M039;M044;M050;M051;M052;M059,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;gpt-5-codex;grok-4-1-fast-reasoning;kimi-k2-5;kimi-k2-6;kimi-k2-thinking;opus-4-6,Google;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic
C0110,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.549216715,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M039;M045;M050;M051;M058;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;gpt-5-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;opus-4-6;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic;Anthropic
C0111,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.511489106,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M039;M045;M050;M051;M058;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;gpt-5-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0112,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.521553173,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M039;M045;M050;M051;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;gpt-5-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-6;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0113,knn_microcluster,freeflow_form,euclidean,KNN_k=7,support,7,0.42315088,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M039;M050;M051;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;gpt-5-codex;kimi-k2-5;kimi-k2-6;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;Moonshot AI;Moonshot AI;Anthropic
C0114,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.576410379,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M044;M045;M050;M051;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;grok-4-1-fast-reasoning;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-6;sonnet-4-6,Google;OpenAI;OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0115,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0.623173112,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M044;M045;M049;M050;M051;M059,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-1-fast-reasoning;grok-4-2;kimi-k2-0905;kimi-k2-5;kimi-k2-6;opus-4-6,Google;OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic
C0116,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.630404003,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M044;M045;M049;M050;M051;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-1-fast-reasoning;grok-4-2;kimi-k2-0905;kimi-k2-5;kimi-k2-6;opus-4-6;sonnet-4-6,Google;OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0117,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.6374743,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M045;M049;M050;M051;M058;M059;M060;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-0905;kimi-k2-5;kimi-k2-6;opus-4-5;opus-4-6;opus-4-7;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic;Anthropic;Anthropic;Anthropic
C0118,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.569386615,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M045;M049;M050;M051;M058;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-0905;kimi-k2-5;kimi-k2-6;opus-4-5;opus-4-6;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic;Anthropic;Anthropic
C0119,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0.539421505,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M045;M049;M050;M051;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-0905;kimi-k2-5;kimi-k2-6;opus-4-6;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0120,knn_microcluster,freeflow_form,euclidean,KNN_k=6,support,6,0.387999593,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M050;M051;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;kimi-k2-5;kimi-k2-6;opus-4-6;sonnet-4-6,Google;OpenAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0121,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.596168605,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M037;M038;M039;M044;M050;M051;M052;M083,gemini-2-5-flash-lite;gpt-5-5;gpt-5-5-pro;gpt-5-codex;grok-4-1-fast-reasoning;kimi-k2-5;kimi-k2-6;kimi-k2-thinking;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic
C0122,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.125668102,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M013;M017;M019;M072;M074;M077;M078;M079;M080;M081,gemini-3-1-pro;gemma-4-26b-a4b;gemma-4-31b;qwen3-5-plus-20260420;qwen3-6-max-preview;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;qwen3-max-thinking;sonnet-4-0,Google;Google;Google;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen;Anthropic
C0123,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M017;M019;M041;M047;M075;M076;M077;M078;M079;M080,gemma-4-26b-a4b;gemma-4-31b;grok-4;kimi-coding;qwen3-6-plus;qwen3-7-max;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;qwen3-max-thinking,Google;Google;xAI;Moonshot AI;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen
C0124,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M017;M019;M041;M047;M076;M077;M078;M079;M080,gemma-4-26b-a4b;gemma-4-31b;grok-4;kimi-coding;qwen3-7-max;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;qwen3-max-thinking,Google;Google;xAI;Moonshot AI;Qwen;Qwen;Qwen;Qwen;Qwen
C0125,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0.157085127,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M017;M019;M072;M074;M077;M078;M079;M081,gemma-4-26b-a4b;gemma-4-31b;qwen3-5-plus-20260420;qwen3-6-max-preview;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;sonnet-4-0,Google;Google;Qwen;Qwen;Qwen;Qwen;Qwen;Anthropic
C0126,knn_microcluster,freeflow_form,euclidean,KNN_k=7,support,7,0.17952586,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M017;M019;M074;M077;M078;M079;M081,gemma-4-26b-a4b;gemma-4-31b;qwen3-6-max-preview;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;sonnet-4-0,Google;Google;Qwen;Qwen;Qwen;Qwen;Anthropic
C0127,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M019;M041;M047;M076;M077;M078;M079;M080,gemma-4-31b;grok-4;kimi-coding;qwen3-7-max;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;qwen3-max-thinking,Google;xAI;Moonshot AI;Qwen;Qwen;Qwen;Qwen;Qwen
C0128,knn_microcluster,freeflow_form,euclidean,KNN_k=6,support,6,0.209446837,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M019;M074;M077;M078;M079;M081,gemma-4-31b;qwen3-6-max-preview;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;sonnet-4-0,Google;Qwen;Qwen;Qwen;Qwen;Anthropic
C0129,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0.579796952,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M032;M033;M036;M037;M039;M043;M052,glm-4-5;gpt-5-2;gpt-5-2-codex;gpt-5-4;gpt-5-5;gpt-5-codex;grok-4-1-fast-non-reasoning;kimi-k2-thinking,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI
C0130,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.643589477,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M032;M033;M036;M037;M039;M043;M052;M073,glm-4-5;gpt-5-2;gpt-5-2-codex;gpt-5-4;gpt-5-5;gpt-5-codex;grok-4-1-fast-non-reasoning;kimi-k2-thinking;qwen3-6-flash,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Qwen
C0131,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.569969067,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M033;M036;M037;M038;M039;M043;M052;M076,glm-4-5;gpt-5-2-codex;gpt-5-4;gpt-5-5;gpt-5-5-pro;gpt-5-codex;grok-4-1-fast-non-reasoning;kimi-k2-thinking;qwen3-7-max,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Qwen
C0132,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.544718439,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M033;M036;M037;M038;M039;M043;M052;M083,glm-4-5;gpt-5-2-codex;gpt-5-4;gpt-5-5;gpt-5-5-pro;gpt-5-codex;grok-4-1-fast-non-reasoning;kimi-k2-thinking;sonnet-4-6,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Anthropic
C0133,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.621133782,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M033;M036;M037;M039;M043;M050;M052;M058;M083,glm-4-5;gpt-5-2-codex;gpt-5-4;gpt-5-5;gpt-5-codex;grok-4-1-fast-non-reasoning;kimi-k2-5;kimi-k2-thinking;opus-4-5;sonnet-4-6,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0134,knn_microcluster,freeflow_form,euclidean,KNN_k=7,support,7,0.429787614,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M033;M036;M037;M039;M043;M052,glm-4-5;gpt-5-2-codex;gpt-5-4;gpt-5-5;gpt-5-codex;grok-4-1-fast-non-reasoning;kimi-k2-thinking,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI
C0135,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.537208064,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M036;M037;M038;M039;M050;M051;M052;M083,glm-4-5;gpt-5-4;gpt-5-5;gpt-5-5-pro;gpt-5-codex;kimi-k2-5;kimi-k2-6;kimi-k2-thinking;sonnet-4-6,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic
C0136,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0.499499746,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M036;M037;M038;M039;M050;M052;M083,glm-4-5;gpt-5-4;gpt-5-5;gpt-5-5-pro;gpt-5-codex;kimi-k2-5;kimi-k2-thinking;sonnet-4-6,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;Moonshot AI;Moonshot AI;Anthropic
C0137,knn_microcluster,freeflow_form,euclidean,KNN_k=6,support,6,0.418644769,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M021;M036;M037;M038;M039;M052,glm-4-5;gpt-5-4;gpt-5-5;gpt-5-5-pro;gpt-5-codex;kimi-k2-thinking,Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;Moonshot AI
C0138,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.607839228,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M035;M036;M039;M045;M050;M051;M058;M060;M083,gpt-5-3-codex;gpt-5-4;gpt-5-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;opus-4-7;sonnet-4-6,OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic;Anthropic
C0139,knn_microcluster,freeflow_form,euclidean,KNN_k=7,support,7,0,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M041;M047;M076;M077;M078;M079;M080,grok-4;kimi-coding;qwen3-7-max;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;qwen3-max-thinking,xAI;Moonshot AI;Qwen;Qwen;Qwen;Qwen;Qwen
C0140,knn_microcluster,freeflow_form,euclidean,KNN_k=6,support,6,0,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M041;M076;M077;M078;M079;M080,grok-4;qwen3-7-max;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;qwen3-max-thinking,xAI;Qwen;Qwen;Qwen;Qwen;Qwen
C0141,knn_microcluster,freeflow_form,euclidean,KNN_k=5,support,5,0,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M076;M077;M078;M079;M080,qwen3-7-max;qwen3-coder-flash;qwen3-coder-plus;qwen3-max;qwen3-max-thinking,Qwen;Qwen;Qwen;Qwen;Qwen
C0901,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.524729888,0.001998002,0.00486789552,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M036;M039;M045;M050;M051;M058;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-4;gpt-5-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0902,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.59644971,0.001998002,0.00486789552,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M037;M038;M039;M044;M050;M051;M052;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5;gpt-5-5-pro;gpt-5-codex;grok-4-1-fast-reasoning;kimi-k2-5;kimi-k2-6;kimi-k2-thinking;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic
C0903,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0.481470557,0.001998002,0.00486789552,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M039;M050;M051;M058;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;gpt-5-codex;kimi-k2-5;kimi-k2-6;opus-4-5;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0904,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.644774614,0.001998002,0.00486789552,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M044;M045;M049;M050;M051;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;grok-4-1-fast-reasoning;grok-4-2;kimi-k2-0905;kimi-k2-5;kimi-k2-6;opus-4-6;sonnet-4-6,Google;OpenAI;OpenAI;xAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0905,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0.603381312,0.001998002,0.00486789552,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M038;M044;M050;M051;M052;M059,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-5-pro;grok-4-1-fast-reasoning;kimi-k2-5;kimi-k2-6;kimi-k2-thinking;opus-4-6,Google;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Moonshot AI;Anthropic
C0906,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.519851196,0.001998002,0.00486789552,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M039;M045;M050;M051;M058;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;opus-4-6;sonnet-4-6,Google;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic;Anthropic
C0907,knn_microcluster,freeflow_form,euclidean,KNN_k=9,support,9,0.571142764,0.001998002,0.00486789552,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M045;M050;M051;M058;M059;M060;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;opus-4-6;opus-4-7;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic;Anthropic;Anthropic
C0908,knn_microcluster,freeflow_form,euclidean,KNN_k=8,support,8,0.482609135,0.001998002,0.00486789552,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M045;M050;M051;M058;M059;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;opus-4-6;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic;Anthropic
