cell,safe_cell,samples,source_models,expressive_freeflow,generic_essay,genre_fiction,low_signal,high_confidence,medium_confidence,low_confidence,aggregate_path,packet_path
deepseek-v4-pro-or,deepseek-v4-pro-or,25,deepseek/deepseek-v4-pro,0,0,0,25,0,0,25,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or/packet.md
deepseek-v4-pro-or-pin-atlascloud,deepseek-v4-pro-or-pin-atlascloud,125,deepseek/deepseek-v4-pro,104,9,8,4,60,56,9,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-atlascloud/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-atlascloud/packet.md
deepseek-v4-pro-or-pin-deepseek,deepseek-v4-pro-or-pin-deepseek,125,deepseek/deepseek-v4-pro,0,0,0,125,0,0,125,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-deepseek/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-deepseek/packet.md
deepseek-v4-pro-or-pin-gmicloud,deepseek-v4-pro-or-pin-gmicloud,125,deepseek/deepseek-v4-pro,107,12,5,1,52,70,3,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-gmicloud/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-gmicloud/packet.md
deepseek-v4-pro-or-pin-novita,deepseek-v4-pro-or-pin-novita,125,deepseek/deepseek-v4-pro,105,13,5,2,60,59,6,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-novita/packet.md
deepseek-v4-pro-or-pin-parasail,deepseek-v4-pro-or-pin-parasail,125,deepseek/deepseek-v4-pro,101,11,12,1,65,53,7,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-parasail/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-parasail/packet.md
deepseek-v4-pro-or-pin-siliconflow,deepseek-v4-pro-or-pin-siliconflow,125,deepseek/deepseek-v4-pro,109,9,7,0,54,67,4,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-siliconflow/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-siliconflow/packet.md
deepseek-v4-pro-or-pin-together,deepseek-v4-pro-or-pin-together,125,deepseek/deepseek-v4-pro,92,21,11,1,46,70,9,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-together/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-or-pin-together/packet.md
gemini-2-5-pro-16k,gemini-2-5-pro-16k,25,gemini-2.5-pro,13,6,6,0,5,16,4,analysis/freeflow/personality-aggregates/gemini-2-5-pro-16k/aggregate.md,analysis/freeflow/personality-aggregates/gemini-2-5-pro-16k/packet.md
gemini-3-1-pro-16k,gemini-3-1-pro-16k,25,gemini-3.1-pro-preview,14,7,4,0,8,14,3,analysis/freeflow/personality-aggregates/gemini-3-1-pro-16k/aggregate.md,analysis/freeflow/personality-aggregates/gemini-3-1-pro-16k/packet.md
glm-4-5-or,glm-4-5-or,25,z-ai/glm-4.5,18,7,0,0,4,17,4,analysis/freeflow/personality-aggregates/glm-4-5-or/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-5-or/packet.md
glm-4-5-or-pin-novita,glm-4-5-or-pin-novita,125,z-ai/glm-4.5,95,27,3,0,25,82,18,analysis/freeflow/personality-aggregates/glm-4-5-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-5-or-pin-novita/packet.md
glm-4-5-or-pin-zai,glm-4-5-or-pin-zai,125,z-ai/glm-4.5,102,20,3,0,22,90,13,analysis/freeflow/personality-aggregates/glm-4-5-or-pin-zai/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-5-or-pin-zai/packet.md
glm-4-6-coding-direct,glm-4-6-coding-direct,25,glm-4.6,12,3,10,0,4,21,0,analysis/freeflow/personality-aggregates/glm-4-6-coding-direct/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-6-coding-direct/packet.md
glm-4-6-or,glm-4-6-or,25,z-ai/glm-4.6,16,2,7,0,5,20,0,analysis/freeflow/personality-aggregates/glm-4-6-or/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-6-or/packet.md
glm-4-6-or-pin-atlascloud,glm-4-6-or-pin-atlascloud,125,z-ai/glm-4.6,88,18,19,0,37,78,10,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-atlascloud/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-atlascloud/packet.md
glm-4-6-or-pin-deepinfra,glm-4-6-or-pin-deepinfra,125,z-ai/glm-4.6,96,8,21,0,49,73,3,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-deepinfra/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-deepinfra/packet.md
glm-4-6-or-pin-novita,glm-4-6-or-pin-novita,125,z-ai/glm-4.6,60,19,46,0,23,94,8,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-novita/packet.md
glm-4-6-or-pin-siliconflow,glm-4-6-or-pin-siliconflow,125,z-ai/glm-4.6,94,9,22,0,43,76,6,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-siliconflow/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-siliconflow/packet.md
glm-4-6-or-pin-venice,glm-4-6-or-pin-venice,125,z-ai/glm-4.6,81,17,27,0,29,85,11,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-venice/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-venice/packet.md
glm-4-6-or-pin-zai,glm-4-6-or-pin-zai,125,z-ai/glm-4.6,69,10,46,0,31,89,5,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-zai/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-6-or-pin-zai/packet.md
glm-4-7-or,glm-4-7-or,25,z-ai/glm-4.7,10,3,12,0,5,19,1,analysis/freeflow/personality-aggregates/glm-4-7-or/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or/packet.md
glm-4-7-or-pin-atlascloud,glm-4-7-or-pin-atlascloud,125,z-ai/glm-4.7,67,15,43,0,28,90,7,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-atlascloud/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-atlascloud/packet.md
glm-4-7-or-pin-cerebras,glm-4-7-or-pin-cerebras,125,z-ai/glm-4.7,64,13,48,0,26,92,7,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-cerebras/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-cerebras/packet.md
glm-4-7-or-pin-deepinfra,glm-4-7-or-pin-deepinfra,125,z-ai/glm-4.7,86,10,29,0,44,75,6,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-deepinfra/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-deepinfra/packet.md
glm-4-7-or-pin-dekallm,glm-4-7-or-pin-dekallm,125,z-ai/glm-4.7,89,1,35,0,33,90,2,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-dekallm/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-dekallm/packet.md
glm-4-7-or-pin-google,glm-4-7-or-pin-google,125,z-ai/glm-4.7,82,9,34,0,30,90,5,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-google/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-google/packet.md
glm-4-7-or-pin-novita,glm-4-7-or-pin-novita,125,z-ai/glm-4.7,64,16,45,0,21,95,9,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-novita/packet.md
glm-4-7-or-pin-parasail,glm-4-7-or-pin-parasail,125,z-ai/glm-4.7,52,22,51,0,22,92,11,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-parasail/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-parasail/packet.md
glm-4-7-or-pin-phala,glm-4-7-or-pin-phala,125,z-ai/glm-4.7,81,16,28,0,32,83,10,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-phala/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-phala/packet.md
glm-4-7-or-pin-siliconflow,glm-4-7-or-pin-siliconflow,125,z-ai/glm-4.7,73,8,44,0,36,82,7,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-siliconflow/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-siliconflow/packet.md
glm-4-7-or-pin-venice,glm-4-7-or-pin-venice,125,z-ai/glm-4.7,76,17,32,0,25,89,11,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-venice/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-venice/packet.md
glm-4-7-or-pin-zai,glm-4-7-or-pin-zai,125,z-ai/glm-4.7,65,15,45,0,25,89,11,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-zai/aggregate.md,analysis/freeflow/personality-aggregates/glm-4-7-or-pin-zai/packet.md
glm-5-1-coding-direct,glm-5-1-coding-direct,25,glm-5.1,17,5,3,0,7,16,2,analysis/freeflow/personality-aggregates/glm-5-1-coding-direct/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-coding-direct/packet.md
glm-5-1-or,glm-5-1-or,25,z-ai/glm-5.1,16,3,6,0,8,15,2,analysis/freeflow/personality-aggregates/glm-5-1-or/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or/packet.md
glm-5-1-or-pin-ambient,glm-5-1-or-pin-ambient,125,z-ai/glm-5.1,90,14,20,1,40,78,7,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-ambient/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-ambient/packet.md
glm-5-1-or-pin-atlascloud,glm-5-1-or-pin-atlascloud,125,z-ai/glm-5.1,90,21,14,0,46,71,8,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-atlascloud/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-atlascloud/packet.md
glm-5-1-or-pin-chutes,glm-5-1-or-pin-chutes,125,z-ai/glm-5.1,90,16,18,1,36,80,9,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-chutes/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-chutes/packet.md
glm-5-1-or-pin-deepinfra,glm-5-1-or-pin-deepinfra,125,z-ai/glm-5.1,90,9,25,1,56,63,6,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-deepinfra/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-deepinfra/packet.md
glm-5-1-or-pin-fireworks,glm-5-1-or-pin-fireworks,125,z-ai/glm-5.1,2,0,1,122,0,3,122,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-fireworks/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-fireworks/packet.md
glm-5-1-or-pin-friendli,glm-5-1-or-pin-friendli,125,z-ai/glm-5.1,81,17,17,10,31,79,15,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-friendli/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-friendli/packet.md
glm-5-1-or-pin-gmicloud,glm-5-1-or-pin-gmicloud,125,z-ai/glm-5.1,101,15,9,0,68,51,6,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-gmicloud/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-gmicloud/packet.md
glm-5-1-or-pin-inceptron,glm-5-1-or-pin-inceptron,125,z-ai/glm-5.1,72,20,21,12,32,74,19,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-inceptron/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-inceptron/packet.md
glm-5-1-or-pin-novita,glm-5-1-or-pin-novita,125,z-ai/glm-5.1,83,17,20,5,35,83,7,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-novita/packet.md
glm-5-1-or-pin-parasail,glm-5-1-or-pin-parasail,125,z-ai/glm-5.1,86,22,17,0,35,85,5,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-parasail/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-parasail/packet.md
glm-5-1-or-pin-phala,glm-5-1-or-pin-phala,125,z-ai/glm-5.1,83,24,18,0,35,75,15,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-phala/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-phala/packet.md
glm-5-1-or-pin-siliconflow,glm-5-1-or-pin-siliconflow,125,z-ai/glm-5.1,96,8,21,0,50,68,7,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-siliconflow/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-siliconflow/packet.md
glm-5-1-or-pin-together,glm-5-1-or-pin-together,125,z-ai/glm-5.1,89,13,20,3,32,82,11,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-together/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-together/packet.md
glm-5-1-or-pin-venice,glm-5-1-or-pin-venice,125,z-ai/glm-5.1,87,22,15,1,27,90,8,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-venice/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-venice/packet.md
glm-5-1-or-pin-zai,glm-5-1-or-pin-zai,125,z-ai/glm-5.1,84,14,22,5,34,79,12,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-zai/aggregate.md,analysis/freeflow/personality-aggregates/glm-5-1-or-pin-zai/packet.md
gpt-4-1-16k,gpt-4-1-16k,25,gpt-4.1,7,18,0,0,1,19,5,analysis/freeflow/personality-aggregates/gpt-4-1-16k/aggregate.md,analysis/freeflow/personality-aggregates/gpt-4-1-16k/packet.md
gpt-4o-direct-16k,gpt-4o-direct-16k,25,gpt-4o,3,19,3,0,1,17,7,analysis/freeflow/personality-aggregates/gpt-4o-direct-16k/aggregate.md,analysis/freeflow/personality-aggregates/gpt-4o-direct-16k/packet.md
gpt-4o-or,gpt-4o-or,25,openai/gpt-4o-2024-08-06,6,18,1,0,1,17,7,analysis/freeflow/personality-aggregates/gpt-4o-or/aggregate.md,analysis/freeflow/personality-aggregates/gpt-4o-or/packet.md
gpt-5-1-codex-direct,gpt-5-1-codex-direct,25,gpt-5.1-codex,19,3,2,0,6,16,3,analysis/freeflow/personality-aggregates/gpt-5-1-codex-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-1-codex-direct/packet.md
gpt-5-1-codex-direct-r2,gpt-5-1-codex-direct-r2,25,gpt-5.1-codex,21,4,0,0,5,19,1,analysis/freeflow/personality-aggregates/gpt-5-1-codex-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-1-codex-direct-r2/packet.md
gpt-5-1-codex-direct-r3,gpt-5-1-codex-direct-r3,25,gpt-5.1-codex,16,9,0,0,6,16,3,analysis/freeflow/personality-aggregates/gpt-5-1-codex-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-1-codex-direct-r3/packet.md
gpt-5-1-direct,gpt-5-1-direct,25,gpt-5.1,10,14,1,0,4,16,5,analysis/freeflow/personality-aggregates/gpt-5-1-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-1-direct/packet.md
gpt-5-1-direct-r2,gpt-5-1-direct-r2,25,gpt-5.1,11,14,0,0,3,13,9,analysis/freeflow/personality-aggregates/gpt-5-1-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-1-direct-r2/packet.md
gpt-5-1-direct-r3,gpt-5-1-direct-r3,25,gpt-5.1,6,18,1,0,2,17,6,analysis/freeflow/personality-aggregates/gpt-5-1-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-1-direct-r3/packet.md
gpt-5-2-codex-direct,gpt-5-2-codex-direct,25,gpt-5.2-codex,18,7,0,0,3,21,1,analysis/freeflow/personality-aggregates/gpt-5-2-codex-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-2-codex-direct/packet.md
gpt-5-2-codex-direct-r2,gpt-5-2-codex-direct-r2,25,gpt-5.2-codex,21,4,0,0,3,21,1,analysis/freeflow/personality-aggregates/gpt-5-2-codex-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-2-codex-direct-r2/packet.md
gpt-5-2-codex-direct-r3,gpt-5-2-codex-direct-r3,25,gpt-5.2-codex,20,5,0,0,6,17,2,analysis/freeflow/personality-aggregates/gpt-5-2-codex-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-2-codex-direct-r3/packet.md
gpt-5-2-direct,gpt-5-2-direct,25,gpt-5.2,18,7,0,0,10,12,3,analysis/freeflow/personality-aggregates/gpt-5-2-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-2-direct/packet.md
gpt-5-2-direct-r2,gpt-5-2-direct-r2,25,gpt-5.2,18,7,0,0,7,15,3,analysis/freeflow/personality-aggregates/gpt-5-2-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-2-direct-r2/packet.md
gpt-5-2-direct-r3,gpt-5-2-direct-r3,25,gpt-5.2,20,5,0,0,13,11,1,analysis/freeflow/personality-aggregates/gpt-5-2-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-2-direct-r3/packet.md
gpt-5-3-codex-direct,gpt-5-3-codex-direct,25,gpt-5.3-codex,23,1,1,0,11,14,0,analysis/freeflow/personality-aggregates/gpt-5-3-codex-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-3-codex-direct/packet.md
gpt-5-3-codex-direct-r2,gpt-5-3-codex-direct-r2,25,gpt-5.3-codex,24,0,1,0,13,12,0,analysis/freeflow/personality-aggregates/gpt-5-3-codex-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-3-codex-direct-r2/packet.md
gpt-5-3-codex-direct-r3,gpt-5-3-codex-direct-r3,25,gpt-5.3-codex,24,0,1,0,13,12,0,analysis/freeflow/personality-aggregates/gpt-5-3-codex-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-3-codex-direct-r3/packet.md
gpt-5-3-direct,gpt-5-3-direct,25,gpt-5.3-chat-latest,13,0,12,0,6,19,0,analysis/freeflow/personality-aggregates/gpt-5-3-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-3-direct/packet.md
gpt-5-3-direct-r2,gpt-5-3-direct-r2,25,gpt-5.3-chat-latest,11,2,12,0,3,21,1,analysis/freeflow/personality-aggregates/gpt-5-3-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-3-direct-r2/packet.md
gpt-5-3-direct-r3,gpt-5-3-direct-r3,25,gpt-5.3-chat-latest,14,2,9,0,5,19,1,analysis/freeflow/personality-aggregates/gpt-5-3-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-3-direct-r3/packet.md
gpt-5-4-direct-16k,gpt-5-4-direct-16k,25,gpt-5.4,16,7,2,0,6,17,2,analysis/freeflow/personality-aggregates/gpt-5-4-direct-16k/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-4-direct-16k/packet.md
gpt-5-4-or,gpt-5-4-or,25,openai/gpt-5.4,22,3,0,0,13,11,1,analysis/freeflow/personality-aggregates/gpt-5-4-or/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-4-or/packet.md
gpt-5-5-direct,gpt-5-5-direct,25,gpt-5.5,21,4,0,0,9,13,3,analysis/freeflow/personality-aggregates/gpt-5-5-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-5-direct/packet.md
gpt-5-5-direct-r2,gpt-5-5-direct-r2,25,gpt-5.5,19,6,0,0,13,8,4,analysis/freeflow/personality-aggregates/gpt-5-5-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-5-direct-r2/packet.md
gpt-5-5-direct-r3,gpt-5-5-direct-r3,25,gpt-5.5,19,5,1,0,10,13,2,analysis/freeflow/personality-aggregates/gpt-5-5-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-5-direct-r3/packet.md
gpt-5-5-or,gpt-5-5-or,25,openai/gpt-5.5,20,2,3,0,12,12,1,analysis/freeflow/personality-aggregates/gpt-5-5-or/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-5-or/packet.md
gpt-5-5-or-r2,gpt-5-5-or-r2,25,openai/gpt-5.5,17,8,0,0,8,11,6,analysis/freeflow/personality-aggregates/gpt-5-5-or-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-5-or-r2/packet.md
gpt-5-5-or-r3,gpt-5-5-or-r3,25,openai/gpt-5.5,14,8,3,0,5,17,3,analysis/freeflow/personality-aggregates/gpt-5-5-or-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-5-or-r3/packet.md
gpt-5-5-pro-direct,gpt-5-5-pro-direct,25,gpt-5.5-pro,21,3,1,0,14,11,0,analysis/freeflow/personality-aggregates/gpt-5-5-pro-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-5-pro-direct/packet.md
gpt-5-codex-direct,gpt-5-codex-direct,25,gpt-5-codex,21,4,0,0,13,9,3,analysis/freeflow/personality-aggregates/gpt-5-codex-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-codex-direct/packet.md
gpt-5-codex-direct-r2,gpt-5-codex-direct-r2,25,gpt-5-codex,22,2,1,0,13,11,1,analysis/freeflow/personality-aggregates/gpt-5-codex-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-codex-direct-r2/packet.md
gpt-5-codex-direct-r3,gpt-5-codex-direct-r3,25,gpt-5-codex,19,3,3,0,13,10,2,analysis/freeflow/personality-aggregates/gpt-5-codex-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-codex-direct-r3/packet.md
gpt-5-direct,gpt-5-direct,25,gpt-5,17,2,6,0,16,9,0,analysis/freeflow/personality-aggregates/gpt-5-direct/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-direct/packet.md
gpt-5-direct-r2,gpt-5-direct-r2,25,gpt-5,17,1,7,0,15,10,0,analysis/freeflow/personality-aggregates/gpt-5-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-direct-r2/packet.md
gpt-5-direct-r3,gpt-5-direct-r3,25,gpt-5,14,2,9,0,14,10,1,analysis/freeflow/personality-aggregates/gpt-5-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/gpt-5-direct-r3/packet.md
grok-3-16k,grok-3-16k,25,grok-3,16,9,0,0,1,20,4,analysis/freeflow/personality-aggregates/grok-3-16k/aggregate.md,analysis/freeflow/personality-aggregates/grok-3-16k/packet.md
