model,profile_path,freeflow_evaluated_samples,expressive_freeflow,generic_essay,genre_fiction,low_signal,high_confidence,medium_confidence,low_confidence,sample_count_tier,grok_lineage
gpt-5.1-codex,analysis/freeflow/personality-model-profiles/profiles/gpt-5.1-codex.md,75,56,16,2,0,17,51,7,B_50_124,no
gpt-5.1,analysis/freeflow/personality-model-profiles/profiles/gpt-5.1.md,75,27,46,2,0,9,46,20,B_50_124,no
gpt-5.2-codex,analysis/freeflow/personality-model-profiles/profiles/gpt-5.2-codex.md,75,59,16,0,0,12,59,4,B_50_124,no
gpt-5.2,analysis/freeflow/personality-model-profiles/profiles/gpt-5.2.md,75,56,19,0,0,30,38,7,B_50_124,no
gpt-5.3-codex,analysis/freeflow/personality-model-profiles/profiles/gpt-5.3-codex.md,75,71,1,3,0,37,38,0,B_50_124,no
gpt-5.3,analysis/freeflow/personality-model-profiles/profiles/gpt-5.3.md,75,38,4,33,0,14,59,2,B_50_124,no
gpt-5.4,analysis/freeflow/personality-model-profiles/profiles/gpt-5.4.md,50,38,10,2,0,19,28,3,B_50_124,no
gpt-5.5-pro,analysis/freeflow/personality-model-profiles/profiles/gpt-5.5-pro.md,25,21,3,1,0,14,11,0,C_25_49,no
gpt-5.5,analysis/freeflow/personality-model-profiles/profiles/gpt-5.5.md,150,110,33,7,0,57,74,19,A_125plus,no
gpt-5,analysis/freeflow/personality-model-profiles/profiles/gpt-5.md,75,48,5,22,0,45,29,1,B_50_124,no
grok-3,analysis/freeflow/personality-model-profiles/profiles/grok-3.md,25,16,9,0,0,1,20,4,C_25_49,yes
grok-4-0709,analysis/freeflow/personality-model-profiles/profiles/grok-4-0709.md,25,10,9,6,0,1,23,1,C_25_49,yes
grok-4-1-fast-non-reasoning,analysis/freeflow/personality-model-profiles/profiles/grok-4-1-fast-non-reasoning.md,125,95,29,1,0,14,96,15,A_125plus,yes
grok-4-1-fast-reasoning,analysis/freeflow/personality-model-profiles/profiles/grok-4-1-fast-reasoning.md,125,99,12,14,0,41,79,5,A_125plus,yes
grok-4.20,analysis/freeflow/personality-model-profiles/profiles/grok-4.20.md,50,47,3,0,0,18,30,2,B_50_124,yes
grok-4.3,analysis/freeflow/personality-model-profiles/profiles/grok-4.3.md,250,106,138,0,6,24,159,67,A_125plus,yes
kimi-for-coding,analysis/freeflow/personality-model-profiles/profiles/kimi-for-coding.md,25,19,2,4,0,9,14,2,C_25_49,no
kimi-k2-0905,analysis/freeflow/personality-model-profiles/profiles/kimi-k2-0905.md,500,458,2,38,2,300,198,2,A_125plus,no
kimi-k2-thinking,analysis/freeflow/personality-model-profiles/profiles/kimi-k2-thinking.md,375,292,66,17,0,138,213,24,A_125plus,no
kimi-k2.5,analysis/freeflow/personality-model-profiles/profiles/kimi-k2.5.md,25,17,4,4,0,9,14,2,C_25_49,no
kimi-k2.6,analysis/freeflow/personality-model-profiles/profiles/kimi-k2.6.md,25,22,2,1,0,16,8,1,C_25_49,no
minimax-m2.7,analysis/freeflow/personality-model-profiles/profiles/minimax-m2.7.md,400,195,159,30,16,39,259,102,A_125plus,no
minimax-m2,analysis/freeflow/personality-model-profiles/profiles/minimax-m2.md,1000,564,362,71,3,133,672,195,A_125plus,no
qwen-qwen3-coder-plus,analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3-coder-plus.md,25,23,2,0,0,6,17,2,C_25_49,no
qwen-qwen3.6-plus,analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3.6-plus.md,25,19,6,0,0,7,14,4,C_25_49,no
